motherid,sdate,edate,seventtype,eeventtype,locationid,location,episode_id
CAA001011,1995-11-16,1996-11-15,3,2,CAU004,2,1
CAA001011,2001-12-14,2004-04-25,2,2,CAU004,2,2
CAA001011,2004-04-25,2005-06-28,2,2,CAU004,2,3
CAA001011,2006-11-15,2010-04-15,2,2,CAU004,2,4
CAA001011,2011-07-15,2015-07-15,2,1,CAU004,2,5
CAA001013,1995-11-16,2016-07-15,3,2,CAA001,2,6
CAA001013,1995-11-16,2016-07-15,3,2,CAA001,1,7
CAA001013,1995-11-16,2016-07-15,3,2,SGP017,2,8
CAA001013,2016-07-15,2017-07-15,2,2,CAA001,2,9
CAA001013,2016-07-15,2017-07-15,2,2,CAA001,1,10
CAA001013,2016-07-15,2017-07-15,2,2,SGP017,2,11
CAA001013,2020-12-28,2020-06-15,2,2,CAA001,2,12
CAA001013,2020-12-28,2020-06-15,2,2,CAA001,1,13
CAA001013,2020-12-28,2020-06-15,2,2,SGP017,2,14
CAA001014,1995-11-16,2019-07-15,3,2,CAA001,2,15
CAA001019,1999-06-08,2017-09-15,2,2,CAA001,2,16
CAA001019,2017-09-15,2020-06-15,2,2,CAA001,2,17
CAA002006,1995-11-16,2004-12-15,3,2,CAH013,2,18
CAA002006,2009-09-15,2013-12-15,2,2,CAH013,2,19
CAA003004,1995-11-16,1996-11-16,3,2,CAA003,2,20
CAA003005,1995-11-16,2000-09-15,3,2,CAA003,2,21
CAA003022,2016-04-15,2017-02-15,2,2,CAA003,2,22
CAA003026,NA,NA,NA,NA,CAA003,2,23
CAA004011,2001-06-15,2001-11-15,2,2,CAA004,2,24
CAA004011,2001-11-15,2002-08-15,2,2,CAA004,2,25
CAA004022,2005-11-02,2012-04-25,2,2,CAA004,2,26
CAA006003,NA,NA,NA,NA,CAA006,2,27
CAA006007,1995-11-16,2000-09-15,3,2,CAA006,2,28
CAA006007,2003-02-15,2003-12-15,2,2,CAA006,2,29
CAA006007,2003-12-15,2004-06-15,2,2,CAA006,2,30
CAA006007,2004-07-07,2006-01-04,2,2,CAA006,2,31
CAA006010,1997-08-15,2019-05-15,2,2,CAA006,2,32
CAA006018,2019-03-28,2020-06-15,2,2,CAA006,2,33
CAA007016,1995-11-16,2002-04-10,3,2,CAA007,2,34
CAA007016,2002-04-10,2003-11-15,2,2,CAA007,2,35
CAA007016,2003-11-15,2015-01-15,2,2,CAA007,2,36
CAA007039,2012-07-15,2013-09-03,2,2,CAA007,2,37
CAA007043,2016-09-15,2017-01-15,2,2,CAA007,2,38
CAA008006,1995-11-16,1997-12-15,3,2,CAA008,2,39
CAA008017,1999-09-15,2002-09-15,2,2,CAA008,2,40
CAA008059,2016-05-09,2019-04-15,2,2,CAA008,2,41
CAA011003,1995-11-23,2000-10-15,3,2,CAM124,2,42
CAA011003,1995-11-23,2000-10-15,3,2,WFG154,2,43
CAA011003,2001-01-08,2001-07-17,2,2,CAM124,2,44
CAA011003,2001-01-08,2001-07-17,2,2,WFG154,2,45
CAA011003,2001-07-17,2006-07-15,2,2,CAM124,2,46
CAA011003,2001-07-17,2006-07-15,2,2,WFG154,2,47
CAA011003,2006-07-15,2008-08-15,2,2,CAM124,2,48
CAA011003,2006-07-15,2008-08-15,2,2,WFG154,2,49
CAA011008,1996-05-14,2000-10-15,2,2,CAM047,2,50
CAA011008,2002-03-15,2004-09-15,2,2,CAM047,2,51
CAA011016,2011-08-28,2012-09-03,2,2,CAA011,2,52
CAA011021,NA,NA,NA,NA,CAA011,2,53
CAA013015,1997-02-15,2002-04-15,2,2,WFG021,2,54
CAA013015,2002-04-15,2003-08-14,2,2,WFG021,2,55
CAA013015,2005-02-13,2005-09-21,2,2,WFG021,2,56
CAA013088,NA,NA,NA,NA,CAA013,2,57
CAA014013,2002-04-08,2002-06-15,2,2,CAA073,2,58
CAA014013,2002-06-15,2003-01-09,2,2,CAA073,2,59
CAA014013,2003-09-30,2004-09-15,2,2,CAA073,2,60
CAA014021,2009-06-15,2011-12-15,2,2,CAA014,2,61
CAA014026,2010-02-14,2011-12-15,1,2,SGT157,2,62
CAA016001,NA,NA,NA,NA,CAA016,2,63
CAA016004,1995-11-16,2001-12-15,3,2,CAA016,2,64
CAA017005,1995-11-16,2000-09-15,3,2,CAA017,2,65
CAA017005,2000-09-15,2004-02-12,2,1,CAA017,2,66
CAA017006,1995-11-16,1996-11-16,3,2,CAA017,2,67
CAA017006,1996-11-16,2000-08-15,2,2,CAA017,2,68
CAA017022,2003-10-15,2009-06-15,2,2,WBD018,1,69
CAA017022,2018-06-15,2020-06-15,2,2,WBD018,1,70
CAA018016,NA,NA,NA,NA,WEF161,2,71
CAA018017,1998-11-15,2007-05-02,2,2,CAA018,2,72
CAA018017,1998-11-15,2007-05-02,2,2,WEG121,2,73
CAA018019,1998-06-15,2000-06-15,2,2,CAA018,2,74
CAA018019,2002-10-25,2010-12-15,2,2,CAA018,2,75
CAA018056,2016-04-15,2017-06-15,2,2,CAA018,2,76
CAA018061,NA,NA,NA,NA,CAA018,2,77
CAA018063,NA,NA,NA,NA,CAA018,2,78
CAA019005,NA,NA,NA,NA,CAA019,2,79
CAA019007,1995-11-16,2001-03-15,3,2,CAA019,2,80
CAA019007,1995-11-16,2001-03-15,3,2,CAQ159,2,81
CAA019007,2002-03-17,2009-04-15,2,2,CAA019,2,82
CAA019007,2002-03-17,2009-04-15,2,2,CAQ159,2,83
CAA019021,1995-11-16,1996-06-29,3,2,CAN008,2,84
CAA019021,1995-11-16,1996-06-29,3,2,CAP025,2,85
CAA019021,1995-11-16,1996-06-29,3,2,SGS236,2,86
CAA019021,1996-06-29,2001-10-31,2,2,CAN008,2,87
CAA019021,1996-06-29,2001-10-31,2,2,CAP025,2,88
CAA019021,1996-06-29,2001-10-31,2,2,SGS236,2,89
CAA019021,2001-10-31,2002-07-15,2,2,CAN008,2,90
CAA019021,2001-10-31,2002-07-15,2,2,CAP025,2,91
CAA019021,2001-10-31,2002-07-15,2,2,SGS236,2,92
CAA019021,2002-07-15,2004-09-15,2,2,CAN008,2,93
CAA019021,2002-07-15,2004-09-15,2,2,CAP025,2,94
CAA019021,2002-07-15,2004-09-15,2,2,SGS236,2,95
CAA019021,2004-09-15,2008-08-15,2,2,CAN008,2,96
CAA019021,2004-09-15,2008-08-15,2,2,CAP025,2,97
CAA019021,2004-09-15,2008-08-15,2,2,SGS236,2,98
CAA019021,2008-08-16,2012-06-15,2,2,CAN008,2,99
CAA019021,2008-08-16,2012-06-15,2,2,CAP025,2,100
CAA019021,2008-08-16,2012-06-15,2,2,SGS236,2,101
CAA019021,2013-07-15,2015-09-15,2,2,CAN008,2,102
CAA019021,2013-07-15,2015-09-15,2,2,CAP025,2,103
CAA019021,2013-07-15,2015-09-15,2,2,SGS236,2,104
CAA020003,1995-11-16,1996-01-16,3,2,SGT003,1,105
CAA020003,1995-11-16,1996-01-16,3,2,SGT003,2,106
CAA020003,1996-01-16,2001-04-15,2,2,SGT003,1,107
CAA020003,1996-01-16,2001-04-15,2,2,SGT003,2,108
CAA020004,NA,NA,NA,NA,CAA020,2,109
CAA020008,NA,NA,NA,NA,CAA020,2,110
CAA021009,1995-11-16,1997-04-15,3,2,CAB026,2,111
CAA021009,2002-12-17,2006-06-15,2,2,CAB026,2,112
CAA021009,2006-06-15,2007-02-15,2,2,CAB026,2,113
CAA021009,2007-03-15,2008-02-15,2,2,CAB026,2,114
CAA021017,1996-04-15,1997-04-15,3,2,CAA021,2,115
CAA021018,1995-11-16,1998-01-05,3,2,CAA021,2,116
CAA021018,1998-01-05,2002-01-15,2,2,CAA021,2,117
CAA022006,1995-11-16,1996-06-15,3,2,CAA021,2,118
CAA022006,1995-11-16,1996-06-15,3,2,CAB121,2,119
CAA022006,1995-11-16,1996-06-15,3,2,CAG079,2,120
CAA022006,1996-11-16,2004-02-15,2,2,CAA021,2,121
CAA022006,1996-11-16,2004-02-15,2,2,CAB121,2,122
CAA022006,1996-11-16,2004-02-15,2,2,CAG079,2,123
CAA022006,2004-02-15,2005-08-04,2,2,CAA021,2,124
CAA022006,2004-02-15,2005-08-04,2,2,CAB121,2,125
CAA022006,2004-02-15,2005-08-04,2,2,CAG079,2,126
CAA022006,2005-08-24,2006-07-15,2,2,CAA021,2,127
CAA022006,2005-08-24,2006-07-15,2,2,CAB121,2,128
CAA022006,2005-08-24,2006-07-15,2,2,CAG079,2,129
CAA022006,2007-05-04,2009-04-15,2,2,CAA021,2,130
CAA022006,2007-05-04,2009-04-15,2,2,CAB121,2,131
CAA022006,2007-05-04,2009-04-15,2,2,CAG079,2,132
CAA022006,2009-04-15,2010-08-15,2,2,CAA021,2,133
CAA022006,2009-04-15,2010-08-15,2,2,CAB121,2,134
CAA022006,2009-04-15,2010-08-15,2,2,CAG079,2,135
CAA022006,2011-06-15,2018-04-15,2,2,CAA021,2,136
CAA022006,2011-06-15,2018-04-15,2,2,CAB121,2,137
CAA022006,2011-06-15,2018-04-15,2,2,CAG079,2,138
CAA022020,2008-09-15,2010-06-15,2,2,CAA022,2,139
CAA022020,2014-06-15,2018-12-15,2,2,CAA022,2,140
CAA022021,NA,NA,NA,NA,ECA004,1,141
CAA023005,1995-11-16,2004-05-15,3,2,CAA023,2,142
